,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,Actions,Selection,Seed,ClickAgreement
0,0,0,test_0,3.430194807552933,3.714932529068927,5,"[[4, 4, 5], [3, 4, 5], [2, 4, 5], [1, 4, 5], [0, 4, 5]]",4,21,0.3333333333333333
1,0,0,test_1,3.9166335377372854,3.7162186946718703,5,"[[0, 4, 1], [1, 4, 1], [2, 4, 1], [3, 4, 1], [4, 4, 1]]",3,20,0.8333333333333334
2,0,0,test_2,4.974507940308268,3.5394031383805182,5,"[[0, 2, 1], [1, 2, 1], [2, 2, 1], [3, 2, 1], [4, 2, 1]]",3,19,0.16666666666666666
3,0,0,test_3,2.594609340489543,3.5387589123278556,5,"[[0, 2, 5], [1, 2, 5], [2, 2, 5], [3, 2, 5], [4, 2, 5]]",3,18,0.16666666666666666
4,0,0,test_4,5.007721622330666,3.714932529068927,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",1,17,0.3333333333333333
5,0,0,test_5,3.8726087606527946,3.714932529068927,5,"[[0, 2, 5], [1, 2, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",3,16,0.16666666666666666
6,0,0,test_6,4.276378583114634,3.714932529068927,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",4,15,0.5
7,0,0,test_7,3.2103132884371424,3.5394031383805182,5,"[[0, 2, 1], [1, 2, 1], [2, 2, 1], [3, 2, 1], [4, 2, 1]]",1,14,0.16666666666666666
8,0,0,test_8,4.037376016920881,3.4335177562039574,5,"[[0, 2, 1], [1, 2, 1], [2, 2, 1], [3, 2, 1], [4, 2, 1]]",2,13,0.16666666666666666
9,0,0,test_9,3.556753737457473,3.7162186946718703,5,"[[0, 4, 1], [1, 4, 1], [2, 4, 1], [3, 4, 1], [4, 4, 1]]",0,12,0.3333333333333333
10,1,1,test_0,3.430194807552933,3.391163603333333,5,"[[0, 0, 5], [1, 0, 0], [1, 1, 4], [2, 2, 5], [3, 3, 4]]",4,21,0.16666666666666666
11,1,1,test_1,2.5257916945787295,3.3981953951635786,4,"[[0, 1, 5], [0, 1, 3], [0, 1, 4], [0, 1, 2]]",0,20,0.0
12,1,1,test_2,2.289670085115509,3.032622534447991,3,"[[0, 4, 5], [1, 4, 5], [1, 2, 5]]",1,19,0.5
13,1,1,test_3,3.777033258838919,3.72221869467187,2,"[[4, 4, 1], [3, 4, 5]]",4,18,0.3333333333333333
14,1,1,test_4,4.53271895944499,3.7482578264553044,3,"[[0, 4, 5], [0, 1, 4], [0, 5, 4]]",0,17,0.25
15,1,1,test_5,3.078003612951342,3.372486470873574,4,"[[2, 0, 5], [2, 2, 1], [2, 5, 3], [2, 3, 2]]",2,16,0.0
16,1,1,test_6,3.267755520533366,3.1476238659128706,5,"[[0, 0, 5], [0, 2, 1], [0, 4, 2], [1, 4, 2], [1, 1, 4]]",0,15,0.16666666666666666
17,1,1,test_7,4.102659872274207,3.4272045340054453,5,"[[1, 2, 3], [2, 3, 3], [1, 4, 2], [2, 0, 5], [2, 5, 5]]",2,14,0.16666666666666666
18,1,1,test_8,4.492134674806647,3.6997314287284384,5,"[[0, 0, 3], [0, 4, 5], [0, 5, 2], [1, 1, 4], [1, 4, 5]]",0,13,0.16666666666666666
19,1,1,test_9,4.332025265817761,3.7171045549591,4,"[[3, 0, 0], [2, 1, 3], [2, 4, 4], [2, 5, 5]]",2,12,0.0
20,2,2,test_0,3.878370498244402,3.4030202945044277,1,"[[0, 0, 1]]",0,21,0.0
21,2,2,test_1,3.7236159406472455,3.4798733575701157,2,"[[1, 0, 5], [1, 3, 3]]",1,20,0.0
22,2,2,test_2,2.289670085115509,3.3951636033333332,3,"[[0, 0, 1], [0, 3, 5], [0, 1, 5]]",1,19,0.0
23,2,2,test_3,3.6650108574319664,3.4761691936609576,2,"[[2, 3, 5], [2, 0, 5]]",2,18,0.0
24,2,2,test_4,4.13477113526486,3.391163603333333,5,"[[1, 3, 5], [0, 3, 4], [0, 5, 5], [0, 1, 3], [0, 3, 2]]",2,17,0.16666666666666666
25,2,2,test_5,3.8746087606527944,3.4781735195125685,4,"[[0, 5, 4], [0, 3, 3], [0, 2, 3], [3, 5, 0]]",3,16,0.0
26,2,2,test_6,4.282378583114634,3.720932529068927,2,"[[3, 4, 5], [4, 4, 5]]",4,15,0.6666666666666666
27,2,2,test_7,3.7054464995179974,3.714932529068927,5,"[[0, 5, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",4,14,0.6666666666666666
28,2,2,test_8,4.492134674806647,3.714932529068927,5,"[[0, 4, 5], [2, 4, 4], [1, 5, 4], [3, 5, 5], [4, 4, 5]]",0,13,0.3333333333333333
29,2,2,test_9,4.1492307800824815,3.714932529068927,5,"[[0, 5, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",3,12,0.6666666666666666
30,4,2,test_0,3.673830218003717,3.3950202945044277,5,"[[0, 0, 1], [1, 0, 1], [2, 0, 1], [3, 0, 1], [4, 0, 1]]",2,21,0.16666666666666666
31,4,2,test_1,3.4122692891541933,3.393163603333333,4,"[[0, 4, 5], [0, 1, 3], [0, 5, 5], [1, 4, 5]]",4,20,0.4
32,4,2,test_2,2.2916700851155087,3.410602336710381,2,"[[0, 0, 5], [1, 0, 5]]",1,19,0.0
33,4,2,test_3,3.949203480779368,3.45204180173785,1,"[[0, 1, 5]]",0,18,0.0
34,4,2,test_4,4.528718959444991,3.3950202945044277,5,"[[0, 0, 1], [1, 0, 5], [2, 0, 5], [3, 0, 5], [4, 5, 5]]",0,17,0.16666666666666666
35,4,2,test_5,3.080003612951342,3.4799286508225498,3,"[[0, 3, 5], [1, 3, 5], [2, 3, 5]]",2,16,0.0
36,4,2,test_6,3.4175681227738473,3.4892019425588083,3,"[[0, 4, 5], [1, 1, 5], [2, 5, 5]]",2,15,0.25
37,4,2,test_7,3.8326020671271595,3.375050894938914,5,"[[4, 5, 1], [3, 5, 5], [0, 5, 5], [1, 5, 5], [3, 5, 1]]",3,14,0.16666666666666666
38,4,2,test_8,3.1230215407518243,3.4135480948688306,3,"[[1, 0, 5], [0, 3, 1], [1, 0, 1]]",1,13,0.0
39,4,2,test_9,0.7785980005820934,3.384654177785007,3,"[[4, 5, 1], [3, 3, 1], [2, 5, 1]]",4,12,0.0
40,6,0,test_0,3.673830218003717,3.619701143761754,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [2, 2, 5], [3, 4, 5]]",2,21,0.8333333333333334
41,6,0,test_1,3.9166335377372854,3.714932529068927,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [4, 4, 5]]",3,20,0.8333333333333334
42,6,0,test_2,3.5999281007395374,3.714932529068927,5,"[[0, 4, 5], [1, 4, 5], [3, 4, 5], [4, 4, 5], [3, 2, 5]]",4,19,0.8333333333333334
43,6,0,test_3,3.6590108574319666,3.714932529068927,5,"[[0, 4, 5], [0, 2, 5], [1, 4, 5], [1, 2, 5], [2, 4, 5]]",2,18,0.6666666666666666
44,6,0,test_4,4.534718959444991,3.8685278380634487,2,"[[0, 4, 5], [0, 2, 5]]",0,17,0.3333333333333333
45,6,0,test_5,3.8726087606527946,3.7571026173530764,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [3, 2, 5]]",3,16,0.8333333333333334
46,6,0,test_6,3.008548735688526,3.6516773966427034,5,"[[0, 4, 5], [1, 4, 5], [1, 2, 5], [2, 4, 5], [3, 4, 5]]",1,15,0.5
47,6,0,test_7,3.8326020671271595,3.862527838063449,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [3, 2, 5]]",3,14,0.8333333333333334
48,6,0,test_8,4.492134674806647,3.6516773966427034,5,"[[0, 4, 5], [0, 2, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5]]",0,13,0.3333333333333333
49,6,0,test_9,4.1492307800824815,3.862527838063449,5,"[[0, 4, 5], [1, 4, 5], [2, 4, 5], [3, 4, 5], [3, 2, 5]]",3,12,0.8333333333333334
50,7,0,test_0,3.876370498244402,3.709179126404749,2,"[[0, 4, 4], [1, 4, 4]]",0,21,0.0
